id;order_refernce;receipt_date;discount_amount;order_amount;gross_amount;net_amount;tax_amount;created_at;updated_at;order_status
1;back-end Vermont;2021-02-24;72578;29683;83813;73060;59840;2021-02-23T16:47:22;2021-02-23T11:53:47;REQUESTED
2;Assistant Auto Loan Account systems;2021-02-24;67440;74057;70763;27297;42295;2021-02-24T09:02:56;2021-02-23T15:14:55;RECEIVED
3;Faroe Islands;2021-02-24;92016;15650;95500;1878;94553;2021-02-24T09:30:40;2021-02-24T03:00:33;REQUESTED
4;Cordoba Oro;2021-02-23;48327;34235;75325;62001;56098;2021-02-24T09:40:32;2021-02-24T07:58:49;UNPAID
5;Tugrik Consultant compress;2021-02-23;56269;68755;34996;25724;42311;2021-02-23T17:47:38;2021-02-23T19:52:48;PAID
6;Berkshire violet;2021-02-24;32484;82737;4665;80729;22817;2021-02-23T19:04:07;2021-02-23T15:22:37;UNPAID
7;Washington yellow;2021-02-23;21621;68191;70864;59222;4509;2021-02-24T00:45:55;2021-02-23T21:09:53;REQUESTED
8;Berkshire e-enable bypass;2021-02-23;51826;76656;27324;13027;14222;2021-02-23T16:22:59;2021-02-23T19:09:04;RECEIVED
9;Practical Granite Towels synthesizing knowledge base;2021-02-24;75713;11381;40327;31928;52994;2021-02-24T03:37:42;2021-02-23T19:39:28;PAID
10;Infrastructure;2021-02-23;28114;51138;48768;61466;2444;2021-02-24T02:34:56;2021-02-24T08:21:40;REQUESTED
