id;date_key;full_date;day_of_week;day_num_in_month;day_num_overall;day_name;day_abbrev;weekday_flag;week_num_in_year;week_num_overall;week_begin_date;week_begin_date_key;month;month_num_overall;month_name;month_abbrev;quarter;year;yearmo;fiscal_month;fiscal_quarter;fiscal_year;last_day_in_month_flag;same_day_year_ago_date
1;33222;2021-02-24;4819;67689;29921;Poland Operative;circuit rich;false;13129;22900;2021-02-23;44529;89808;88326;orchid Borders;architectures purple;72335;26688;12139;45514;95610;63;true;2021-02-23
2;76695;2021-02-23;16645;28797;64834;Industrial firewall Savings Account;Expressway;true;57874;32923;2021-02-24;53697;14355;97187;Consultant;Architect model paradigm;46123;26592;83306;11297;69004;84264;false;2021-02-24
3;36901;2021-02-23;86190;76303;13622;hard drive Handmade;cyan Human;false;28011;65306;2021-02-24;61374;95738;1871;Architect withdrawal Home;Tools dedicated Plastic;91706;62156;35754;74715;91933;33962;false;2021-02-23
4;38290;2021-02-24;3217;43169;95073;bypassing;Bedfordshire Generic Wooden Fish superstructure;false;62198;70600;2021-02-24;56666;22566;89587;intuitive radical synthesizing;Auto Loan Account Kentucky;97110;53458;79792;14749;76545;11710;true;2021-02-23
5;79811;2021-02-24;90015;71565;38414;technologies strategic maximize;Metal;true;93917;27637;2021-02-24;18831;26197;74905;Credit Card Account User-friendly;circuit Toys;61328;44049;75706;99670;4493;69032;true;2021-02-24
6;94047;2021-02-23;36753;86173;63115;Inlet calculate;redefine orchestration Incredible Rubber Ball;false;24937;93779;2021-02-24;50931;77717;48419;Wyoming Barbados Dollar Sleek;dynamic New Hampshire Borders;56000;62759;8509;97664;45597;23749;true;2021-02-24
7;27541;2021-02-24;76579;59088;28400;Moroccan Dirham Applications;Cotton neural Mountain;true;82305;53142;2021-02-24;8537;10331;64554;payment Malagasy Ariary;invoice;82190;66599;12228;61346;53950;55494;false;2021-02-24
8;78243;2021-02-24;89697;38847;34050;hardware Gambia;Electronics;false;94844;73640;2021-02-23;14058;63516;81622;coherent Fantastic;reboot;86598;25649;34817;83567;70942;72875;false;2021-02-24
9;61916;2021-02-24;88953;62461;11040;IB RSS;Branding;false;51469;39798;2021-02-24;66790;80092;27708;efficient Burundi Franc Jewelery;Assimilated;41015;35673;11211;29055;27275;12689;false;2021-02-24
10;12117;2021-02-24;69417;96326;42437;aggregate Jordan bandwidth;Borders Chief;true;39589;84475;2021-02-23;97882;73672;43564;Tanzania Business-focused Accountability;web-enabled markets;11080;2255;53069;86969;41798;99203;true;2021-02-23
