id;qty_mvt;date_mtv;stock_before;stock_after;user_id;produit_id;date_dimension_id
1;82165;2021-03-19T12:40:33;24285;67613;2;1;1
2;55349;2021-03-19T11:05:08;32946;54012;2;2;2
3;11208;2021-03-18T23:17:21;23895;65793;2;3;3
4;34133;2021-03-19T07:11:20;15953;62126;2;4;4
5;32471;2021-03-19T17:29:09;49903;9438;2;5;5
6;43511;2021-03-19T10:06:34;19951;62138;2;6;6
7;57854;2021-03-19T13:21:46;6090;96798;1;7;7
8;85775;2021-03-19T06:08:50;17798;11746;1;8;8
9;71321;2021-03-19T12:01:37;9139;86906;2;9;9
10;67231;2021-03-19T05:24:18;84805;1334;2;10;10
