id;transaction_type;amount;created_at;updated_at;quantity;quantity_befor;quantity_after
1;INVENTAIRE;38079;2021-02-24T08:05:51;2021-02-23T14:46:28;7236;73073;95969
2;INVENTAIRE;71575;2021-02-23T15:19:21;2021-02-24T08:11:04;88617;69271;15679
3;COMMANDE;1683;2021-02-23T18:37:17;2021-02-23T11:35:54;1737;61383;40487
4;AJUSTEMENT;94760;2021-02-23T20:04:46;2021-02-24T09:57:49;10540;32411;94815
5;SUPPRESSION;20881;2021-02-24T00:46:29;2021-02-23T17:33:40;47968;53954;25786
6;INVENTAIRE;74598;2021-02-23T16:19:11;2021-02-23T16:01:04;82021;78721;1086
7;COMMANDE;5166;2021-02-23T21:01:47;2021-02-23T15:30:35;9211;88640;69920
8;SUPPRESSION;74685;2021-02-24T07:10:15;2021-02-24T03:26:57;5950;2381;44879
9;COMMANDE;69236;2021-02-24T07:41:38;2021-02-23T12:50:49;41064;3428;3543
10;AJUSTEMENT;91429;2021-02-24T06:41:03;2021-02-24T02:00:06;19668;59693;81566
