id;receipt_date;quantity_received;quantity_requested;quantity_returned;discount_amount;order_amount;gross_amount;net_amount;tax_amount;created_at;updated_at;cost_amount
1;2021-02-24;9773;29031;25110;14488;51476;91585;26193;3638;2021-02-23T15:11:39;2021-02-24T09:59:57;28352
2;2021-02-23;54281;21384;30232;69536;92145;25103;3907;9348;2021-02-23T18:41:18;2021-02-23T23:43:19;84491
3;2021-02-24;83653;59069;73511;20778;52492;54157;88136;45637;2021-02-24T03:15:33;2021-02-24T10:04:13;9131
4;2021-02-24;35084;73384;58399;94490;91204;65927;1229;49282;2021-02-24T05:07:32;2021-02-23T22:19:37;50076
5;2021-02-23;88078;48849;93014;70210;76061;67785;25739;25943;2021-02-24T08:58:19;2021-02-23T18:14:03;83295
6;2021-02-24;37266;12798;34548;90835;90268;82249;37744;22667;2021-02-23T11:39:37;2021-02-23T20:24:58;28019
7;2021-02-23;60244;60575;79034;91654;83197;58848;48603;46850;2021-02-24T00:58:25;2021-02-24T00:50:09;51848
8;2021-02-23;54258;11560;29442;93898;41607;58219;12897;84930;2021-02-24T04:02:58;2021-02-23T18:32:59;59962
9;2021-02-24;67633;83588;21136;75657;77195;84959;6144;10360;2021-02-24T06:49:49;2021-02-23T12:41:30;78362
10;2021-02-23;64200;6155;97093;4735;24773;55996;36173;13768;2021-02-23T15:02:45;2021-02-24T03:34:42;70271
