id;net_amount;paid_amount;rest_to_pay;created_at;updated_at
1;36635;18398;62488;2021-02-23T22:24:26;2021-02-24T02:40:44
2;41795;85028;17071;2021-02-23T16:05:06;2021-02-23T22:28:18
3;30925;23184;61414;2021-02-24T09:05:46;2021-02-24T07:24:04
4;1714;13119;10361;2021-02-24T00:36:30;2021-02-24T01:56:41
5;33338;81027;93164;2021-02-23T22:58:29;2021-02-23T15:36:23
6;20680;74131;3313;2021-02-24T02:13:48;2021-02-24T00:39:48
7;32213;46570;76430;2021-02-24T03:40:44;2021-02-23T16:44:27
8;11298;16630;71932;2021-02-23T12:08:59;2021-02-23T12:37:49
9;56143;606;95448;2021-02-23T13:59:45;2021-02-23T16:22:06
10;20882;50252;9932;2021-02-24T03:45:14;2021-02-23T19:07:12
