id;net_amount;paid_amount;rest_to_pay;created_at;updated_at
1;16374;94132;18346;2021-02-24T05:59:55;2021-02-23T21:06:29
2;34677;18296;20045;2021-02-23T23:54:30;2021-02-24T10:08:37
3;4962;46367;85260;2021-02-23T14:47:31;2021-02-24T01:38:45
4;89248;4340;24329;2021-02-23T17:58:55;2021-02-24T09:52:53
5;20866;82975;40763;2021-02-23T13:16:13;2021-02-23T14:18:46
6;63529;66979;53556;2021-02-24T00:15:05;2021-02-24T03:49:03
7;28417;21426;47899;2021-02-23T19:02:23;2021-02-24T00:30:29
8;18444;36628;33653;2021-02-23T20:35:35;2021-02-24T00:11:24
9;1976;12043;32677;2021-02-24T07:55:54;2021-02-24T08:52:58
10;2549;25671;27639;2021-02-23T20:06:20;2021-02-24T02:51:18
