id;libelle;code;jhi_group
1;array Synergistic monitoring;Borders extensible;MOBILE
2;Salad paradigms California;Future;CB
3;Louisiana Berkshire Checking Account;Factors Integration Implemented;CB
4;turquoise Brand infrastructures;Associate Aruban Guilder bypassing;CB
5;indigo;firewall;CB
6;systemic Clothing;Infrastructure Generic Wooden Fish driver;CHEQUE
7;Checking Account;withdrawal Operations front-end;CASH
8;1080p;Center platforms Representative;CB
9;Small mobile grey;needs-based;CB
10;Keyboard e-business Vermont;Industrial;CHEQUE
