id;libelle;code;image_url;type_produit;quantity;cost_amount;regular_unit_price;net_unit_price;created_at;updated_at;item_qty;item_cost_amount;item_regular_unit_price
1;conglomeration Marketing solutions;Health Future Grocery;Stand-alone Cambridgeshire Accountability;DETAIL;94621;44007;79392;45322;2021-02-23T14:12:02;2021-02-23T15:55:34;636;54352;60931
2;Unions GB Soap;Balanced;exuding Shores;PACKAGE;16952;92924;76882;17906;2021-02-24T00:44:42;2021-02-24T10:29:18;79258;75223;37721
3;back up;Sleek Fresh Cheese Facilitator;Computer Land;PACKAGE;51676;60225;27324;71359;2021-02-23T23:14:43;2021-02-23T15:20:00;59106;75433;14524
4;Iraqi Dinar array Beauty;Ball Chair Handmade;Practical;DETAIL;94807;18980;56297;36527;2021-02-24T01:42:04;2021-02-24T01:17:56;87025;61022;23524
5;Shirt Bedfordshire;synergies;indexing Netherlands Antillian Guilder FTP;PACKAGE;15680;15019;42856;14611;2021-02-23T11:31:35;2021-02-24T07:25:24;3106;6710;33255
6;Persistent;Incredible Granite Gloves;background Polarised Pants;DETAIL;59545;50030;20166;64202;2021-02-23T12:35:53;2021-02-23T22:34:44;91014;32477;633
7;Keyboard;Auto Loan Account strategize grow;target Communications calculate;PACKAGE;65645;98134;52238;64075;2021-02-24T07:15:54;2021-02-24T07:42:22;29554;67917;28944
8;Texas;Avon;mint green Principal Refined;DETAIL;79514;14908;12421;33319;2021-02-23T23:13:59;2021-02-23T22:57:17;58233;54397;63238
9;microchip;Gambia impactful;Granite;PACKAGE;8143;36632;57636;96169;2021-02-23T14:40:29;2021-02-23T19:19:55;7360;47997;60213
10;Chief wireless Green;copy;pixel innovative;PACKAGE;75771;47412;87951;33997;2021-02-23T11:32:33;2021-02-24T06:06:49;3440;34314;59641
