id;discount_amount;sales_amount;gross_amount;net_amount;tax_amount;cost_amount;statut;created_at;updated_at
1;85225;9660;87896;22796;16575;31472;UNPAID;2021-02-23T22:17:10;2021-02-23T22:11:49
2;5184;17652;83833;93554;20900;13069;CLOSE;2021-02-23T11:41:09;2021-02-24T02:59:30
3;90171;56293;15482;5554;33900;79817;PROCESSING;2021-02-24T07:14:09;2021-02-24T11:00:15
4;23652;62164;64333;22689;5920;96020;CLOSE;2021-02-23T23:26:32;2021-02-24T07:38:35
5;27594;31596;19932;20897;2366;65985;PAID;2021-02-24T10:10:46;2021-02-24T10:27:23
6;95431;68837;88273;8801;97579;55981;CLOSE;2021-02-24T10:57:27;2021-02-23T15:24:13
7;99630;34918;73077;44224;86869;84797;PROCESSING;2021-02-23T22:36:50;2021-02-23T22:01:19
8;51838;74410;93353;20296;66146;33223;PENDING;2021-02-24T04:27:21;2021-02-23T20:14:36
9;69801;27686;2944;1919;22837;29189;UNPAID;2021-02-24T08:27:01;2021-02-24T04:50:10
10;33761;40431;25989;79529;43379;2730;CLOSE;2021-02-24T04:03:52;2021-02-23T14:20:22
