id;quantity_sold;regular_unit_price;discount_unit_price;net_unit_price;discount_amount;sales_amount;gross_amount;net_amount;tax_amount;cost_amount;created_at;updated_at
1;51474;3635;29208;77035;29281;64628;23986;81812;31368;83845;2021-02-23T13:23:37;2021-02-24T05:52:46
2;63784;54431;916;12340;6536;84717;85387;91925;19389;11490;2021-02-24T01:36:54;2021-02-24T02:39:41
3;7442;46455;47283;26458;12565;95899;42113;45497;63850;50397;2021-02-23T22:38:29;2021-02-24T02:36:55
4;98177;55447;24948;19082;28147;44590;81231;15916;63691;1595;2021-02-23T16:16:20;2021-02-24T06:07:30
5;6656;81708;88133;25642;35461;88218;18364;26730;14175;62834;2021-02-23T23:24:40;2021-02-24T09:00:21
6;99127;50904;85582;13876;52899;99171;19258;25791;59629;82927;2021-02-23T22:07:37;2021-02-24T02:29:23
7;62102;37272;54908;64988;82394;84487;87275;19605;76271;43974;2021-02-23T13:25:55;2021-02-23T12:28:11
8;71765;96329;1021;4065;52841;29191;11897;8495;19281;97466;2021-02-23T22:06:58;2021-02-24T03:25:51
9;20854;28440;79627;42539;88313;88738;23562;70747;3872;68811;2021-02-24T08:43:38;2021-02-24T10:32:16
10;26760;17372;14971;21879;5928;72249;43669;31912;24609;39073;2021-02-24T01:12:33;2021-02-24T06:34:10
