id;inventory_value_cost_begin;inventory_amount_begin;created_at;updated_at;inventory_value_cost_after;inventory_amount_after
1;58573;86078;2021-02-24T00:39:04;2021-02-24T08:26:55;33618;21687
2;86902;41248;2021-02-24T02:20:24;2021-02-23T12:22:26;63139;81027
3;92234;2460;2021-02-23T19:38:17;2021-02-23T17:19:22;98756;82722
4;85417;20354;2021-02-23T15:03:03;2021-02-24T10:44:49;12832;56767
5;10930;55996;2021-02-24T00:37:28;2021-02-24T09:04:47;46652;72475
6;73416;20071;2021-02-24T03:09:58;2021-02-24T07:06:21;30269;72705
7;27197;53238;2021-02-24T02:55:07;2021-02-24T08:50:44;4445;65723
8;15869;90064;2021-02-23T16:51:44;2021-02-24T05:50:09;64240;31936
9;44865;52940;2021-02-23T11:35:40;2021-02-23T19:21:57;85299;59887
10;66911;23782;2021-02-23T22:41:22;2021-02-24T08:41:31;64426;51838
